SetTemp 	  MeasuredTemp 	 hourDiff 	 minuteDiff 	 Output 
23	21	0	1	20
23	20	0	2	20
23	20	0	12	20
23	20	0	4	21
23	21	0	5	22
23	22	0	7	22
23	22	0	10	22
23	22	0	10	22
17	22	0	0	22
21	22	0	2	23
21	23	0	18	22
21	22	0	10	22
21	22	0	12	22
21	22	0	7	21
21	21	0	11	20
21	20	0	13	21
21	21	0	4	22
21	22	1	15	21
21	21	2	28	21
23	21	0	14	22
23	22	0	4	22
23	22	0	3	22
23	22	0	4	23
23	23	0	54	22
23	22	0	12	23
23	23	0	5	24
23	24	0	40	23
23	23	0	24	23
21	23	0	6	22
21	22	0	25	22
21	22	0	51	22
21	22	0	29	22
23	22	0	1	22
22	22	0	0	22
21	22	0	0	22
23	22	0	0	22
22	22	0	0	22
21	22	0	0	22
23	22	0	0	22
21	22	0	0	22
23	22	0	0	22
22	22	0	1	22
22	22	0	32	22
22	22	0	19	22
21	22	4	54	22
17	22	3	50	22
17	22	2	15	22
16	22	0	29	22
16	22	1	54	22
21	22	0	54	21
21	21	3	32	22
21	22	8	26	22
23	22	0	12	22
23	22	0	2	22
23	22	0	4	23
23	23	0	16	24
23	24	0	15	23
23	23	0	44	22
23	22	0	12	23
23	23	0	4	24
23	24	0	15	24
17	24	0	16	23
17	23	0	25	22
17	22	0	48	22
17	22	1	2	22
17	22	1	7	21
17	21	1	11	20
17	20	0	52	20
16	20	0	46	20
16	20	1	37	20
16	20	1	20	20
21	20	0	16	20
21	20	0	4	20
21	20	0	6	21
21	21	0	36	20
21	20	0	14	21
21	21	0	5	22
21	22	0	23	21
21	21	0	4	21
16	21	0	15	20
16	20	0	48	20
16	20	3	10	20
16	20	1	22	19
16	19	0	15	19
21	19	0	0	19
23	19	0	14	20
23	20	0	4	20
23	20	0	5	20
23	20	0	6	21
23	21	0	6	22
23	22	0	7	22
23	22	0	8	22
23	22	0	8	23
23	23	0	23	22
23	22	0	13	23
23	23	0	31	22
23	22	0	13	23
23	23	1	29	22
23	22	0	2	22
23	22	0	11	22
23	22	0	4	23
23	23	0	50	22
